num,patch,mag,magerr,elongation_norm,fwhm_norm,significance_abs,residual,psffit_sigma_ratio,psffit_peak_ratio,frac_det,density,density_good,bapsf,psf,score
1,0_8,24.814056,0.164984,0.614709,1.366911,4.383062,1.026540,1.031086,0.177984,0.819672,1,1,0.958226,4.291642,0
2,0_8,25.503505,0.314866,0.535267,0.699157,4.671430,0.979448,1.056092,1.285083,0.524590,0,0,0.956947,4.275010,0
3,0_8,25.105464,0.229424,0.556381,1.344336,2.937079,0.979594,0.993952,0.284334,0.754098,4,1,0.948983,4.441791,0
4,0_8,24.619989,0.176843,0.592711,0.958015,7.457166,0.908323,1.208515,1.055652,0.803279,0,0,0.956546,4.276736,0
5,0_8,25.127670,0.235524,0.520200,1.412429,3.902856,0.879239,0.925541,0.530619,0.688525,3,1,0.947879,4.425053,0
6,0_8,24.367217,0.116049,0.520031,1.830705,5.055829,1.188634,1.096934,0.144973,0.770492,2,1,0.942355,4.431039,1
7,0_8,22.757445,0.068822,0.515590,1.154716,18.526517,2.138680,4.969866,0.375754,0.803279,1,1,0.953430,4.242815,0
8,0_8,23.382898,0.046924,0.903277,1.925165,2.625810,0.941348,1.035948,1.141068,0.737705,3,1,0.952776,4.316764,0
9,0_8,25.370037,0.289782,0.463619,0.807685,3.241564,0.992477,0.937982,2.708047,0.704918,1,1,0.943628,4.413520,0
10,0_8,24.835513,0.176577,0.945741,1.585156,4.056250,0.934475,0.992337,0.990451,0.836066,3,1,0.952795,4.316150,0
11,0_8,24.625509,0.145790,0.526245,1.268283,3.311271,1.013979,1.023166,1.497881,0.852459,2,0,0.951516,4.318783,0
12,0_8,25.181092,0.242937,0.492688,1.442645,3.240403,0.963214,1.019224,2.014122,0.819672,4,0,0.949920,4.285084,0
13,0_8,24.749335,0.165004,0.958308,1.631290,2.465452,1.035215,1.083349,-1.468703,0.704918,3,0,0.942336,4.351043,0
14,0_8,24.644872,0.154195,0.888567,1.785797,2.250981,0.995315,1.046668,0.506181,0.754098,5,2,0.942181,4.311342,0
15,0_8,24.831016,0.175501,0.670478,1.393153,3.846330,0.748602,1.107586,0.158428,0.807018,3,1,0.947584,4.231202,0
16,0_8,24.799354,0.164854,0.861000,1.663395,3.501323,0.915970,1.021643,-0.128286,0.771930,4,1,0.947131,4.229494,0
17,0_8,24.634130,0.150445,0.712271,1.645371,2.927374,0.947256,1.074717,0.372378,0.836066,4,1,0.941688,4.278458,0
18,0_8,25.256786,0.254976,0.914995,0.794086,3.284324,1.022545,1.065559,1.991703,0.655738,2,0,0.939731,4.290637,0
19,0_8,24.629210,0.147440,0.769261,1.671883,2.011246,0.982054,1.096198,1.508594,0.754386,5,1,0.946242,4.220519,0
20,0_8,24.712844,0.152104,0.885438,1.841788,3.936478,0.962367,0.940554,0.878601,0.771930,6,2,0.945704,4.219036,0
21,0_8,25.100538,0.217026,0.736706,1.052518,5.522360,0.967368,0.894569,0.746211,0.672131,1,0,0.938821,4.284595,0
22,0_8,24.754940,0.162847,0.824400,1.575162,3.593891,0.987875,1.050438,0.549300,0.789474,5,1,0.945597,4.214221,0
23,0_8,24.722351,0.154351,0.906309,1.618522,2.654235,0.838790,0.862207,0.850584,0.803279,6,0,0.940886,4.262164,0
24,0_8,24.958408,0.237640,0.495111,1.025640,4.202543,1.030463,1.032887,1.336237,0.639344,3,0,0.940978,4.253849,0
25,0_8,24.898521,0.186725,0.750442,1.651908,5.252896,0.930776,1.003057,0.900491,0.819672,0,0,0.907726,4.404568,0
26,0_8,25.054346,0.203008,0.477821,1.254909,4.146991,0.991056,0.912634,-0.043514,0.701754,0,0,0.942073,4.236511,0
27,0_8,25.041642,0.254002,0.462772,1.244234,4.566917,0.873450,1.189725,1.785937,0.770492,1,1,0.940699,4.247371,0
28,0_8,25.900722,0.499598,0.712352,0.601732,5.255989,0.963315,1.094910,2.011192,0.719298,1,0,0.944360,4.170871,0
29,0_8,24.618285,0.141681,0.900313,1.715097,4.698834,1.131419,0.908835,0.907068,0.754098,4,2,0.923541,4.335924,0
30,0_8,24.232624,0.100705,0.570564,1.562761,6.874067,1.241711,0.987544,-0.180826,0.885246,2,1,0.926664,4.322592,0
31,0_8,24.839950,0.158353,0.507474,1.692415,6.164377,1.029472,0.969487,1.193806,0.771930,0,0,0.944518,4.180579,0
32,0_8,25.240251,0.250590,0.478709,1.436132,5.297932,1.052699,1.003099,1.216035,0.688525,1,1,0.914928,4.387217,0
33,0_8,25.091194,0.221970,0.523882,1.789601,5.222209,0.883026,1.092599,1.370349,0.739130,0,0,0.862195,4.872792,0
34,0_8,25.174985,0.226067,0.949494,1.363145,5.255822,0.993401,1.049398,1.200042,0.736842,0,0,0.938284,4.195036,0
35,0_8,24.676518,0.152170,0.743396,1.565028,12.848424,2.661831,1.241518,0.616951,0.836066,2,1,0.958114,4.292470,0
36,0_8,24.363094,0.119714,0.900780,1.099140,11.329038,0.910888,0.975794,1.197200,0.811594,1,1,0.897814,4.752759,1
37,0_8,23.914847,0.077303,0.907993,1.037919,19.981299,1.033793,0.929964,0.984145,0.913043,0,0,0.923284,4.622341,1
38,0_8,25.025421,0.208849,0.894324,0.871032,8.295032,0.947202,0.954530,1.008943,0.770492,1,1,0.956516,4.374633,1
39,0_8,24.840736,0.186195,0.888267,1.137429,7.604617,0.933538,1.027675,0.580117,0.768116,1,1,0.896608,4.741391,1
40,0_8,25.482336,0.318940,0.793411,0.899179,6.210466,0.961314,0.994951,0.971434,0.672131,1,1,0.956010,4.367268,1
41,0_8,25.473437,0.306871,0.404289,1.187098,5.270802,1.010589,0.895906,0.725026,0.786885,0,0,0.957302,4.328755,1
42,0_8,25.514531,0.328740,0.406322,0.877652,5.920407,0.948755,1.017633,1.807116,0.721311,0,0,0.956529,4.348399,1
43,0_8,24.821710,0.174359,0.415102,1.807223,5.758110,0.970154,0.972250,1.563937,0.826087,0,0,0.930966,4.545691,1
44,0_8,24.469605,0.134066,0.553012,1.084609,11.735289,0.996607,1.005126,0.767750,0.768116,0,0,0.893957,4.712066,1
45,0_8,22.881602,0.028071,0.979340,0.957371,57.419901,1.006223,0.873941,1.048306,1.000000,1,0,0.953135,4.238381,1
46,0_8,25.010432,0.213357,0.849012,1.156953,7.502187,0.941985,1.102129,1.063980,0.797101,0,0,0.917255,4.574126,1
47,0_8,25.114238,0.233110,0.420853,0.891264,8.785490,1.132695,0.898844,0.707817,0.770492,3,2,0.942587,4.432607,1
48,0_8,26.205800,0.607655,0.761254,0.775892,7.167937,1.050413,0.969539,1.595980,0.719298,1,1,0.953162,4.239321,1
49,0_8,24.999704,0.205738,0.453165,0.619755,4.463730,0.931386,1.002174,1.439314,0.753623,0,0,0.928796,4.497602,0
50,0_8,24.533635,0.135691,0.651127,0.999124,8.716201,0.965126,1.128782,1.249449,0.852459,0,0,0.931511,4.470430,1
51,0_8,24.036969,0.087960,0.948987,0.706205,15.074937,1.811475,0.673299,1.018673,0.426230,0,0,0.945029,4.357310,1
52,0_8,25.523791,0.541692,0.432639,0.662152,5.390148,1.783085,2.981183,2.938757,0.377049,3,0,0.951441,4.256112,0
53,0_8,24.601247,0.137301,0.931288,0.943088,11.431797,0.999761,0.961878,1.301953,0.807018,0,0,0.950825,4.233936,1
54,0_8,24.569034,0.142123,0.899567,0.976224,12.964371,0.921075,1.034222,0.709484,0.811594,0,0,0.883303,4.628634,1
55,0_8,23.660574,0.059524,0.964670,0.963160,28.795392,0.984698,1.153235,1.039439,0.885246,0,0,0.936649,4.376800,1
56,0_8,24.920085,0.192888,0.721572,1.328386,6.409631,0.951341,0.976961,0.552597,0.768116,0,0,0.899558,4.553798,1
57,0_8,25.925627,0.546537,0.801910,0.630045,3.064922,0.913751,0.957364,2.067822,0.608696,0,0,0.912535,4.496891,0
58,0_8,25.008515,0.216744,0.640441,1.241589,6.603228,1.068319,0.920949,0.675250,0.739130,0,0,0.871368,4.673600,1
59,0_8,24.998038,0.205997,0.879788,1.087215,11.205423,2.265469,1.063747,0.259283,0.786885,0,0,0.936014,4.359754,0
60,0_8,24.403817,0.117010,0.850037,1.119637,18.274107,1.734917,1.052826,0.734055,0.852459,0,0,0.919618,4.441197,1
61,0_8,24.213859,0.102543,0.854227,0.732883,15.787068,1.185384,0.923075,0.785909,0.426230,2,1,0.942819,4.309918,1
62,0_8,26.848927,1.861115,0.667900,0.699545,12.365428,1.515433,2.903191,2.098233,0.311475,5,1,0.940891,4.320511,0
63,0_8,25.527862,0.317421,0.992748,1.024588,6.425022,0.993137,1.008345,0.682609,0.771930,0,0,0.946445,4.181915,1
64,0_8,25.502844,0.310887,0.803894,1.037488,6.600679,0.938410,1.012980,0.440847,0.719298,0,0,0.948284,4.227828,1
65,0_8,24.991747,0.200382,0.520713,0.895180,5.096810,1.057686,0.977813,1.317566,0.688525,1,1,0.934559,4.350060,0
66,0_8,25.296816,0.272988,0.648716,0.888930,8.660752,0.988421,1.038399,1.318132,0.721311,0,0,0.918111,4.427741,1
67,0_8,25.154334,0.227672,0.720207,0.777661,5.385477,1.027157,0.941545,0.907309,0.666667,1,0,0.946303,4.180846,1
68,0_8,24.035437,0.083670,0.539892,1.927394,10.366141,1.007628,0.991334,0.601126,0.852459,2,2,0.934811,4.335995,1
69,0_8,23.822606,0.065035,0.883155,1.100915,23.167729,1.054833,0.975292,1.063197,0.929825,0,0,0.947479,4.204821,1
70,0_8,24.590953,0.135947,0.777646,1.070487,9.746981,1.050197,1.076364,1.138920,0.789474,1,1,0.947041,4.192474,1
71,0_8,24.938623,0.192767,0.938815,0.946230,8.120063,0.903274,1.061528,1.385248,0.771930,0,0,0.947323,4.217580,1
72,0_8,25.379282,0.282510,0.723501,1.112604,4.138326,1.187629,0.971117,0.509054,0.672131,1,1,0.932642,4.344086,0
73,0_8,25.028862,0.209622,0.566940,1.458069,5.022275,0.915747,0.901384,0.094020,0.754098,1,1,0.927159,4.371808,0
74,0_8,25.501205,0.319711,0.676911,0.815190,6.716931,0.922378,1.123800,0.958039,0.754098,0,0,0.918678,4.408568,1
75,0_8,25.032422,0.197129,0.598931,1.051694,5.763922,0.943783,1.022851,1.335369,0.771930,1,1,0.946996,4.194374,0
76,0_8,24.975164,0.198667,0.590046,1.185692,4.435738,0.846170,0.942435,0.429719,0.721311,2,2,0.933546,4.332114,1
77,0_8,25.186444,0.246652,0.546326,0.878425,11.036296,1.004905,1.032794,0.997999,0.737705,5,2,0.941535,4.275554,1
78,0_8,24.588166,0.138501,0.672411,1.750562,6.184779,0.922689,0.859859,1.062237,0.885246,2,2,0.929140,4.349964,1
79,0_8,23.726402,0.065290,1.054155,1.075932,22.532546,0.981974,1.113641,1.076337,0.913043,0,0,0.890637,4.512568,1
80,0_8,24.742251,0.155934,0.702396,0.992887,7.001532,0.944610,0.900098,1.078342,0.754098,1,1,0.925497,4.362082,1
81,0_8,24.835943,0.169836,0.562525,1.431909,3.037642,0.946395,1.105138,-0.720654,0.737705,0,0,0.932888,4.323474,0
82,0_8,25.914184,0.471693,0.841485,0.737129,10.367197,0.993021,0.880632,1.132600,0.704918,6,1,0.941357,4.268808,1
83,0_8,25.184208,0.243140,0.712537,0.949057,5.326660,0.875800,1.026416,0.902991,0.737705,2,2,0.927294,4.350652,1
84,0_8,25.208954,0.249496,0.538225,0.722908,5.242928,1.049229,1.174452,1.051143,0.655738,0,0,0.921292,4.376051,1
